id,civilité,nom,prenom,département,circonscription,groupe_politique,email,sites,twitter,facebook,permanence,commissions,informations
"PA795228","Mme","Abomangoli","Nadège","Seine-Saint-Denis","10","La France insoumise - Nouveau Front Populaire","nadege.abomangoli@assemblee-nationale.fr","nadegeabomangoli.fr","@abomangoli","Deputee.Abomangoli","13, Rue du 11 novembre 93600 Aulnay-sous-Bois - Tél: 01 40 63 48 91","Membre  de la Commission des affaires étrangères | Vice-présidente de l'Assemblée nationale",""
"PA794278","M.","Albertini","Xavier","Marne","1","Horizons & Indépendants","xavier.albertini@assemblee-nationale.fr","xavieralbertini.fr","","","69, Rue Camille Lenoir 51100 Reims - Tél: 03 52 15 37 30","Membre  de la Commission des lois constitutionnelles, de la législation et de l'administration générale de la République | ",""
"PA793262","M.","Alexandre","Laurent","Aveyron","2","La France insoumise - Nouveau Front Populaire","laurent.alexandre@assemblee-nationale.fr","www.laurent-alexandre.fr","@LauAlexandre12","LaurentAlexandre2022","7, Rue Clemenceau 12300 Decazeville","Membre  de la Commission des affaires économiques | ",""
"PA793992","M.","Alfandari","Henri","Indre-et-Loire","3","Horizons & Indépendants","henri.alfandari@assemblee-nationale.fr","","","","","Membre  de la Commission des affaires économiques | ",""
"PA841067","M.","Allegret-Pilot","Alexandre","Gard","5","UDR","alexandre.allegret-pilot@assemblee-nationale.fr","","","","","Membre  de la Commission des affaires économiques | ",""
"PA840665","Mme","Allemand","Marie-José","Hautes-Alpes","1","Socialistes et apparentés","marie-jose.allemand@assemblee-nationale.fr","","","Marie-josé Allemand","","Membre  de la Commission des lois constitutionnelles, de la législation et de l'administration générale de la République | ",""
"PA793432","M.","Allisio","Franck","Bouches-du-Rhône","12","Rassemblement National","franck.allisio@assemblee-nationale.fr","","@franckallisio","","","Membre  de la Commission des finances, de l'économie générale et du contrôle budgétaire | ",""
"PA841207","M.","Alloncle","Charles","Hérault","9","UDR","charles.alloncle@assemblee-nationale.fr","","","","","Membre  de la Commission des affaires économiques | ",""
"PA794906","M.","Amard","Gabriel","Rhône","6","La France insoumise - Nouveau Front Populaire","gabriel.amard@assemblee-nationale.fr","gabrielamard.fr","@gabrielamard","GabrielAmard","4, Avenue Salvador Allende 69100 Villeurbanne","Membre  de la Commission du développement durable et de l'aménagement du territoire | Secrétaire de l'Assemblée nationale",""
"PA841495","M.","Amblard","Maxime","Meuse","1","Rassemblement National","maxime.amblard@assemblee-nationale.fr|mamblard.servicepresse@gmail.com","","@MaximeAmblard5","massou24","","Membre  de la Commission des affaires économiques | ",""
